t_s,bufPctRaw,bufPctSmoothed,bufPctDrawn,redraws,lastSkipReason
21.2604,0,0,0,85,delta
21.2807,0,0,0,85,delta
21.3003,0,0,0,85,delta
21.3204,0,0,0,85,delta
21.3404,0,0,0,85,delta
21.3604,0,0,0,85,delta
21.3806,0,0,0,85,delta
21.4006,0,0,0,85,delta
21.4204,0,0,0,85,delta
21.4403,0,0,0,85,delta
21.4606,0,0,0,85,delta
21.4804,0,0,0,85,delta
21.5005,0,0,0,85,delta
21.5207,0,0,0,85,delta
21.5405,0,0,0,85,delta
21.5604,0,0,0,85,delta
21.5816,0,0,0,85,delta
21.6015,0,0,0,85,delta
21.6215,0,0,0,85,delta
21.6417,0,0,0,85,delta
21.6615,0,0,0,85,delta
21.6813,0,0,0,85,delta
21.7022,0,0,0,85,delta
21.7224,0,0,0,85,delta
21.7424,0,0,0,85,delta
21.7625,0,0,0,85,delta
21.7826,0,0,0,85,delta
21.8024,0,0,0,85,delta
21.8229,0,0,0,85,delta
21.8426,0,0,0,85,delta
21.8625,0,0,0,85,delta
21.8827,0,0,0,85,delta
21.9023,0,0,0,85,delta
21.9223,0,0,0,85,delta
21.9426,0,0,0,85,delta
21.9624,0,0,0,85,delta
21.9824,0,0,0,85,delta
22.0027,0,0,0,85,delta
22.0225,0,0,0,85,delta
22.0423,0,0,0,85,delta
22.0628,0,0,0,85,delta
22.0823,0,0,0,85,delta
22.1024,0,0,0,85,delta
22.123,0,0,0,85,delta
22.1444,0,0,0,85,delta
22.1645,0,0,0,85,delta
22.1849,0,0,0,85,delta
22.2044,0,0,0,85,delta
22.2244,0,0,0,85,delta
22.2444,0,0,0,85,delta
22.2644,0,0,0,85,delta
